YEAR;MONTH;DAY;HOUR;MINUTES;SECONDS;LONGITUDE;LATITUDE;DEPTH;MAG_TYPE;MAG;EVENT_NAME
2017; 8;20;15;13;20.00; -68.8887; -20.3173; 95.7;Mwr  ;4.5;CHILE-BOLIVIA BORDER REGION
2017; 8;20;14;48;24.00; 144.9490;  13.6598;100.8;mb   ;4.2;MARIANA ISLANDS
2017; 8;20;10; 9; 7.00; 169.9412; -16.4228; 25.2;mb   ;4.8;VANUATU ISLANDS
2017; 8;20; 6;15;46.00; -70.9022; -25.4873; 36.3;Mwr  ;4.0;NEAR COAST OF NORTHERN CHILE
2017; 8;20; 5;54;58.00;-103.2510;  17.7877; 10.0;mb   ;4.4;NEAR COAST OF MICHOACAN, MEXICO
2017; 8;20; 4;47;32.00; 143.7867;  40.2595; 10.0;mb   ;4.7;OFF EAST COAST OF HONSHU, JAPAN
2017; 8;20; 1; 6;21.00; 103.7181;  -4.1372; 40.6;mb   ;4.6;SOUTHERN SUMATRA, INDONESIA
2017; 8;20; 0;55;10.00; 142.4695;  38.3629; 41.3;mb   ;4.0;NEAR EAST COAST OF HONSHU, JAPAN
2017; 8;19;22; 2;13.00; -68.5158; -21.2647;122.2;mb   ;4.1;CHILE-BOLIVIA BORDER REGION
2017; 8;19;21;38; 4.00; -83.6199;   9.9316; 17.4;Mwr  ;4.0;COSTA RICA
2017; 8;19;21;22;17.00; 111.9070;  -9.6819; 10.0;mb   ;4.3;SOUTH OF JAVA, INDONESIA
2017; 8;19;21;21;51.00;-178.7759; -21.0867;592.5;mb   ;4.4;FIJI ISLANDS REGION
2017; 8;19;20;59; 2.00;-178.7901; -21.0862;591.4;mb   ;4.6;FIJI ISLANDS REGION
2017; 8;19;20;26;50.00; -79.7762;  18.0259; 10.0;Mwr  ;4.4;NORTH OF HONDURAS
2017; 8;19;20;11;15.00; 127.4541;  -0.4719;123.1;mb   ;4.4;HALMAHERA, INDONESIA
2017; 8;19;18;38;23.00; 127.3396;   1.7018; 10.0;mb   ;4.5;HALMAHERA, INDONESIA
2017; 8;19;16;14;55.00; 163.8316;  56.1298; 39.7;mb   ;4.5;NEAR EAST COAST OF KAMCHATKA
2017; 8;19;11;36; 6.00; 169.8081; -18.6191; 89.4;mb   ;4.6;VANUATU ISLANDS
2017; 8;19; 9; 4;12.00; -88.4252;  12.2948; 31.0;mb   ;4.2;OFF COAST OF CENTRAL AMERICA
2017; 8;19; 8;14;58.00; 142.2998;  30.2338; 10.0;mb   ;4.7;SOUTHEAST OF HONSHU, JAPAN
2017; 8;19; 7;39;36.00; 176.1368; -40.3685; 36.2;mb   ;4.4;NORTH ISLAND, NEW ZEALAND
2017; 8;19; 7;36;39.00;-156.8801;  55.3206;  9.2;Ml   ;4.0;SOUTH OF ALASKA
2017; 8;19; 7;33;44.00; -29.2735; -55.5943; 10.0;mb   ;5.1;SOUTH SANDWICH ISLANDS REGION
2017; 8;19; 6;35;51.00;-154.0012;  19.9838; 30.1;ML   ;4.1;HAWAII
